identificador,nome_do_clube,pais_do_clube,ano_de_fundacao,descricao
99
16,AFC Bournemouth,Inglaterra,1899,"Clube admirado por seu espírito de superação e forte ligação com a comunidade local"
36,AS Monaco,França,1924,"É um dos clubes mais tradicionais e vitoriosos do futebol Francês"
21,AS Roma,Itália,1927,"Clube que conqusitou a Liga conferência da UEFA em 2022"
62,Ajax,Holanda,1900,"Absoluto campeão Holandês 36 títulos nacionais e 02 mundiais"
82,Al Hilal,Arábia Saudita,1957,"É o clube mais vitorioso e popular da Arábia Saudita e um dos maiores do futebol asiático"
2,Arsenal,Inglaterra,1886,"O maior campeão das copas da Inglaterra com 14 títulos"
9,Aston Villa,Inglaterra,1874,"Tradicional clube inglês com uma Champions league"
14,Atalanta,Itália,1907,"Revelação Itáliana das últimas décadas"
33,Athletic Club Bilbao,Espanha,1898,"Campeão da supercopa da Espanha 2020"
12,Atlético Madrid,Espanha,1903,"Tricampeão da liga europa UEFA"
90,Augsburg,Alemanha,1907,"O clube é conhecido por sua gestão financeira sólida e por adotar um futebol organizado e coletivo"
4,Barcelona,Espanha,1899,"Tricampeão Mundial de Clubes em 2015"
11,Bayer Leverkusen,Alemanha,1904,"Clube alemão campeão invicto da bundesliga"
7,Bayern Munchen,Alemanha,1900,"Hendecacampeão nacional seguido (2013-2023)"
18,Benfica,Portugal,1904,"Clube com 38 títulos do Campeonato Português"
99,Boca Juniors,Argentina,1905,"Absoluto na America do Sul no novo sec. XXI 03 Mundiais e 06 Libertadores da América"
69,Bodø/Glimt,Noruega,1916,"O clube tem se destacado em competições europeias e tem se tornado uma força reconhecida em toda a Europa"
27,Bologna Football Club,Itália,1909,"É um dos clubes Itálianos mais bem sucedidos em todos os tempos"
17,Borussia Dortmund,Alemanha,1909,"Clube que tem a história marcada por grandes conquistas, incluindo 8 títulos da Bundesliga"
85,Borussia M’gladbach,Alemanha,1900,"O clube é famoso por seu período de ouro nas décadas de 1970 e 1980, quando conquistou 5 títulos da bundesliga e a Copas da UEFA de 1975"
19,Brentford,Inglaterra,1889,"Clube se tornou um exemplo moderno de sucesso sustentável no futebol europeu"
75,Brest,França,1950,"O clube é conhecido por valorizar jogadores formados na região e por sua forte conexão com a comunidade bretã"
23,Brighton & Hove Albion,Inglaterra,1901,"Clube que fez história em 2023, ao classificar pela primeira vez para a competição continental UEFA Europa League"
44,Burnley,Inglaterra,1832,"O clube é um dos mais antigos da Inglaterra"
64,Celta Vigo,Espanha,1923,"O clube é conhecido pelo forte vínculo com sua comunidade e por sua identidade regional"
55,Celtic,Escócia,1887,"O maior clube da Escócia, disputa acirrada com o rival Rangers"
10,Chelsea,Inglaterra,1905,"É o primeiro campeão da copa do mundo de clubes FIFA"
86,Club América,México,1916,"Detém uma enorme coleção de títulos nacionais e internacionais: 13 Campeonatos Mexicanos, 6 Ligas dos Campeões da CONCACAF e diversas Supercopas"
34,Club Brugge,Bélgica,1891,"O maior da Bélgica"
77,Columbus Crew,Estados Unidos,1994,"Conquistou 2 títulos da MLS Cup, em 2008 e 2020, além de 3 Supporters'Shields, que premiam o melhor desempenho na temporada regular"
71,Como,Itália,1907,"Após períodos de dificuldades financeiras, o clube tem voltado a crescer, com projetos de modernização e investimentos recentes"
73,Cruz Azul,México,1927,"O clube mais vitorioso da América do Norte"
15,Crystal Palace,Inglaterra,1905,"Conhecido pelo apeligo Eagles"
97,Deportivo Alavés,Espanha,1921,"É conhecido por sua história de superação, alternando entre La Liga e a Segunda Divisão ao longo dos anos"
96,Desportivo Toluca,México,1917,"É um dos clubes mais vitoriosos do futebol mexicano, tendo conquistado 10 títulos do Campeonato Mexicano e diversas Copas da CONCACAF"
45,Eintracht Frankfurt,Alemanha,1899,"Clube com uma história rica e uma base de fãs apaixonada"
91,Espanyol,Espanha,1900,"O clube é valorizado por sua formação de jovens talentos e por seu estilo de jogo disciplinado e competitivo"
78,Estrela Vermelha de Belgrado,Sérvia,1945,"Único clube sérvico a conquistar a Liga dos Campeões da UEFA"
43,Everton,Inglaterra,1888,"Clube que detém o reorde de mais participações na primeira divisão da Inlgaterra"
95,FC Zenit São Petersburgo,Rússia,1925,"Conquistou grande destaque nacional e internacional, vencendo múltiplos títulos da Premier Liga Russa, Copa da Rússia e Supercopa da Rússia"
56,Fenerbahçe,Turquia,1907,"Clube que venceu 19 vezes o campeonato Turco"
35,Feyenoord,Holanda,1908,"Campeão mundial e da liga dos campeões em 1970"
